loan_id,customer_id,origination_date,original_principal_eur,interest_rate_pct,term_months,monthly_payment_eur,outstanding_balance_eur,days_past_due,loan_status,default_flag,customer_risk_score
L00661,C00142,2023-09-18,7200,6.28,36,219.95,1217.01,0,Current,0,716
L00662,C00788,2026-04-16,7400,5.65,72,121.42,7016.62,0,Current,0,687
L00663,C01200,2025-08-07,11000,8.54,72,195.78,9256.71,0,Current,0,605
L00664,C00298,2023-07-05,32100,6.89,60,633.95,14299.47,0,Current,0,684
L00665,C02177,2022-12-15,22200,4.41,48,505.34,4118.42,0,Current,0,733
L00666,C00562,2024-06-23,24600,4.07,60,453.82,16244.97,0,Current,0,728
L00667,C01158,2023-11-09,34000,5.69,36,1029.58,9168.31,0,Current,0,754
L00668,C01900,2026-02-08,27900,9.4,36,892.42,23167.9,0,Current,0,609
L00669,C01146,2022-11-27,4100,5.57,60,78.45,1515.11,0,Current,0,658
L00670,C01018,2021-12-26,31600,4.17,60,584.39,5312.67,0,Current,0,791
L00671,C00756,2025-08-29,38000,4.79,60,713.46,30686.38,0,Current,0,750
L00672,C01421,2024-05-25,11900,7.82,72,207.6,8332.41,0,Current,0,623
L00673,C02454,2021-04-17,13000,9.99,36,419.41,390.0,0,Current,0,567
L00674,C02334,2025-09-16,8300,8.57,36,262.28,6103.15,0,Current,0,744
L00675,C00051,2025-10-09,13000,10.63,36,423.33,9367.96,0,Current,0,687
L00676,C00779,2025-06-09,3500,7.89,24,158.12,1485.66,0,Current,0,745
L00677,C01725,2024-08-08,36700,4.93,48,844.01,18625.69,0,Current,0,781
L00678,C01223,2022-11-23,27700,9.29,24,1269.16,5034.39,0,Current,0,714
L00679,C00626,2026-01-28,21500,7.75,36,671.26,17833.72,0,Current,0,638
L00680,C01543,2023-12-31,19100,7.48,36,593.95,4036.57,0,Current,0,642
L00681,C00408,2023-07-27,6400,9.44,36,204.83,1308.07,0,Current,0,663
L00682,C01412,2026-01-22,13900,6.96,72,236.71,12822.33,0,Current,0,628
L00683,C01181,2026-05-08,4200,4.63,48,96.02,3959.24,0,Current,0,663
L00684,C01581,2025-12-22,30000,6.66,60,589.24,26581.69,0,Current,0,699
L00685,C00039,2024-08-17,21100,6.29,36,644.68,8849.82,0,Current,0,711
L00686,C02407,2026-01-21,11700,11.23,48,303.7,9974.22,0,Current,0,561
L00687,C02445,2026-07-22,28500,6.46,72,478.54,28136.93,0,Current,0,726
L00688,C01925,2026-02-24,13200,7.7,24,595.2,10285.38,0,Current,0,664
L00689,C00116,2025-08-03,23300,7.17,72,399.15,19927.63,0,Current,0,674
L00690,C02482,2026-02-10,33100,7.65,48,802.64,29031.17,0,Current,0,712
L00691,C02364,2024-07-19,21900,6.19,36,668.13,6746.97,0,Current,0,621
L00692,C00012,2024-09-05,13700,8.97,48,340.73,8355.75,0,Current,0,683
L00693,C02155,2026-04-11,8300,4.62,48,189.72,7683.61,0,Current,0,827
L00694,C00616,2024-01-16,35400,9.09,48,882.44,17082.1,0,Current,0,715
L00695,C01703,2022-06-04,17900,3.5,72,275.99,5607.06,0,Current,0,758
L00696,C01459,2021-01-13,3600,4.89,48,82.73,689.87,0,Current,0,775
L00697,C00949,2026-07-21,10400,8.01,60,210.92,10260.94,0,Current,0,587
L00698,C00045,2025-04-01,19400,8.9,72,348.73,15698.24,0,Current,0,683
L00699,C01655,2026-07-20,3800,6.77,48,90.59,3733.95,0,Current,0,787
L00700,C02236,2025-09-14,23900,7.79,60,482.21,19603.16,0,Current,0,673
